"providername","eventid","task","event_count","exe_count","exes"
"Microsoft-Antimalware-Engine","5","Stream scan request Start","0066","0010","<not found> attack.exe cmd.exe conhost.exe EDRi.exe explorer.exe Notepad.exe OpenConsole.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","53","Behavior Monitoring BmOpenProcess","0053","0011","attack.exe cmd.exe conhost.exe EDRi.exe explorer.exe Notepad.exe OpenConsole.exe PerfWatson2.exe SearchIndexer.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","59","Message Info","0131","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","6","Stream scan request Stop","0066","0010","<not found> attack.exe cmd.exe conhost.exe EDRi.exe explorer.exe Notepad.exe OpenConsole.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","67","ExpensiveOperationTaskExpensiveOperationEnd","0025","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","7","Skipped file Info","0055","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","70","Behavior Monitoring BmProcessCreate","0011","0009","attack.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe SearchProtocolHost.exe smartscreen.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","71","Behavior Monitoring BmFileCreateEx","0004","0003","explorer.exe Notepad.exe System"
"Microsoft-Antimalware-Engine","72","Behavior Monitoring BmFileChangeEx","0018","0004","EDRi.exe explorer.exe Notepad.exe svchost.exe"
"Microsoft-Antimalware-Engine","73","Behavior Monitoring ProcessMonitorFlags","0018","0009","attack.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe SearchProtocolHost.exe smartscreen.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","8","Behavior Monitoring BmEtw","0011","0003","chrome.exe Notepad.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","95","Behavior Monitoring BmFileOverwrite","0001","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","RegistryValueSet","Behavior Monitoring BmRegistry","0001","0001","svchost.exe"
"Microsoft-Windows-Kernel-Audit-API-Calls","3","Info","0006","0001","svchost.exe"
"Microsoft-Windows-Kernel-Audit-API-Calls","5","Info","2381","0019","attack.exe cmd.exe conhost.exe copilot-language-server.exe csrss.exe ctfmon.exe dwm.exe EDRi.exe explorer.exe lsass.exe MsMpEng.exe Notepad.exe OpenConsole.exe PerfWatson2.exe SearchIndexer.exe smartscreen.exe svchost.exe VBoxService.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-Audit-API-Calls","6","Info","0118","0007","cmd.exe csrss.exe ctfmon.exe explorer.exe MsMpEng.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-File","10","NameCreateInfo","0026","0005","explorer.exe Notepad.exe PerfWatson2.exe svchost.exe System"
"Microsoft-Windows-Kernel-File","30","CreateNewFileInfo","0014","0005","EDRi.exe explorer.exe Notepad.exe svchost.exe System"
"Microsoft-Windows-Kernel-Process","1","ProcessStartStart","0011","0007","attack.exe cmd.exe EDRi.exe explorer.exe Notepad.exe SearchIndexer.exe svchost.exe"
"Microsoft-Windows-Kernel-Process","2","ProcessStopStop","0007","0007","attack.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-Process","3","ThreadStartStart","0189","0021","attack.exe cmd.exe conhost.exe dllhost.exe dwm.exe EDRi.exe explorer.exe Notepad.exe OneDrive.exe OneDrive.Sync.Service.exe OpenConsole.exe PerfWatson2.exe SearchIndexer.exe SearchProtocolHost.exe ServiceHub.IntellicodeModelService.exe sihost.exe smartscreen.exe svchost.exe System VBoxTray.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-Process","4","ThreadStopStop","0100","0019","attack.exe cmd.exe conhost.exe devenv.exe explorer.exe msedgewebview2.exe Notepad.exe OneDrive.exe OpenConsole.exe PerfWatson2.exe powershell.exe RuntimeBroker.exe ServiceHub.IntellicodeModelService.exe svchost.exe TimelineExplorer.exe VBoxTray.exe WidgetService.exe WindowsTerminal.exe wininit.exe"
"Microsoft-Windows-Kernel-Process","5","ImageLoadInfo","0614","0010","attack.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe SearchProtocolHost.exe smartscreen.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-Process","6","ImageUnloadInfo","0321","0010","attack.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe SearchProtocolHost.exe smartscreen.exe svchost.exe WindowsTerminal.exe"
