"providername","eventid","task","event_count","exe_count","exes"
"Microsoft-Antimalware-Engine","70","Behavior Monitoring BmProcessCreate","0016","0013","attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe RuntimeBroker.exe SearchProtocolHost.exe svchost.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","71","Behavior Monitoring BmFileCreateEx","0024","0006","Notepad.exe RuntimeBroker.exe ServiceHub.IdentityHost.exe svchost.exe System WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","72","Behavior Monitoring BmFileChangeEx","0019","0005","EDRi.exe RuntimeBroker.exe ServiceHub.IdentityHost.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","73","Behavior Monitoring ProcessMonitorFlags","0027","0013","attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe RuntimeBroker.exe SearchProtocolHost.exe svchost.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","8","Behavior Monitoring BmEtw","0020","0005","ApplicationFrameHost.exe CalculatorApp.exe chrome.exe Notepad.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","95","Behavior Monitoring BmFileOverwrite","0001","0001","MsMpEng.exe"
"Microsoft-Windows-Kernel-Audit-API-Calls","2","Info","0001","0001","svchost.exe"
"Microsoft-Windows-Kernel-Audit-API-Calls","3","Info","0008","0001","svchost.exe"
"Microsoft-Windows-Kernel-Audit-API-Calls","5","Info","3248","0027","ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe copilot-language-server.exe csrss.exe ctfmon.exe devenv.exe dwm.exe EDRi.exe explorer.exe lsass.exe MsMpEng.exe Notepad.exe OpenConsole.exe PerfWatson2.exe RuntimeBroker.exe SearchIndexer.exe services.exe sihost.exe smartscreen.exe svchost.exe VBoxService.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-Audit-API-Calls","6","Info","0166","0010","CalculatorApp.exe cmd.exe csrss.exe ctfmon.exe explorer.exe MsMpEng.exe services.exe svchost.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-File","10","NameCreateInfo","0062","0009","explorer.exe Notepad.exe PerfWatson2.exe RuntimeBroker.exe ServiceHub.IdentityHost.exe svchost.exe System WerFault.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-File","30","CreateNewFileInfo","0052","0008","EDRi.exe Notepad.exe RuntimeBroker.exe ServiceHub.IdentityHost.exe svchost.exe System WerFault.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-Network","12","KERNEL_NETWORK_TASK_TCPIPConnection attempted.","0001","0001","WerFault.exe"
"Microsoft-Windows-Kernel-Network","42","KERNEL_NETWORK_TASK_UDPIPData sent over UDP protocol.","0004","0001","svchost.exe"
"Microsoft-Windows-Kernel-Network","43","KERNEL_NETWORK_TASK_UDPIPData received over UDP protocol.","0007","0002","chrome.exe svchost.exe"
"Microsoft-Windows-Kernel-Network","58","KERNEL_NETWORK_TASK_UDPIPData sent over UDP protocol.","0003","0001","svchost.exe"
"Microsoft-Windows-Kernel-Network","59","KERNEL_NETWORK_TASK_UDPIPData received over UDP protocol.","0006","0002","chrome.exe svchost.exe"
"Microsoft-Windows-Kernel-Process","1","ProcessStartStart","0016","0008","attack.exe cmd.exe EDRi.exe explorer.exe Notepad.exe SearchIndexer.exe services.exe svchost.exe"
"Microsoft-Windows-Kernel-Process","11","ProcessFreezeStart","0001","0001","svchost.exe"
"Microsoft-Windows-Kernel-Process","2","ProcessStopStop","0010","0009","attack.exe calc.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-Process","3","ThreadStartStart","0312","0028","ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe ctfmon.exe devenv.exe dwm.exe EDRi.exe explorer.exe Notepad.exe OneDrive.exe OpenConsole.exe PerfWatson2.exe RuntimeBroker.exe SearchIndexer.exe SearchProtocolHost.exe ServiceHub.IdentityHost.exe ServiceHub.IntellicodeModelService.exe services.exe sihost.exe svchost.exe System TimelineExplorer.exe VBoxTray.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-Process","4","ThreadStopStop","0152","0029","attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe devenv.exe dllhost.exe explorer.exe Greenshot.exe msedgewebview2.exe Notepad.exe OneDrive.exe OpenConsole.exe PerfWatson2.exe powershell.exe RuntimeBroker.exe SecurityHealthService.exe ServiceHub.Host.dotnet.x64.exe ServiceHub.IntellicodeModelService.exe StoreDesktopExtension.exe svchost.exe TimelineExplorer.exe VBoxTray.exe WerFault.exe WidgetService.exe WindowsTerminal.exe wininit.exe winlogon.exe WinStore.App.exe"
"Microsoft-Windows-Kernel-Process","5","ImageLoadInfo","1051","0015","ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe RuntimeBroker.exe SearchProtocolHost.exe sihost.exe svchost.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-Process","6","ImageUnloadInfo","0620","0013","ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe SearchProtocolHost.exe svchost.exe WerFault.exe WindowsTerminal.exe"
