timestamp,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,classification,eventtype,fileid,fileusn,info,scansource,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,creationtime,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,accessmask,washardened,featureid,bytescopied,operationstatus,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,targetthreadcreatetime,targetthreadid,defaultbase,imagebase,imagesize,data,startstop,threadtime,deltacpu,deltawall,startqpc,id,process,reason,cycletime,channel,eventid,fullregionsize,lastprotectionmask,targetaddress,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,targetprocesscreationtime,Source Name,Long Description,Timestamp
"2025-10-01 15:10:05.0156523Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM"," 3376 MsMpEng.exe",4564,,," 3376 MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,2093797736448,134037160374322401,3376,49,7,55,5629499534213195,134037160500757160,4564,134037160374322401,3376,49,7,55,5629499534213195,"RWX",315392,134037160374322401,49,7,55,5629499534213195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ETW,,2020-20-20 20:20:20
"2025-10-01 15:10:05.0157518Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\ntdll.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,663364,2096447312,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0158635Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\kernel32.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,661904,2096488960,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0159703Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\KernelBase.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,628742,2122185256,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0162133Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",4564,,,,,,"C:\Windows\System32\conhost.exe",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,657332,2096448648,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0188893Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\msvcp_win.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,666652,2096461808,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0190264Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\ucrtbase.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,666657,2096462144,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0198909Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\advapi32.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,628041,2122180400,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0200226Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\msvcrt.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,662944,2096476160,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0201567Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\sechost.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,629619,2122193528,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0202712Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\rpcrt4.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,664511,2096479024,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0207580Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Windows\System32\user32.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,666912,2096532656,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0208719Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Windows\System32\win32u.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,667298,2096532496,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0209745Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Windows\System32\gdi32.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,661073,2096531472,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0210625Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Windows\System32\gdi32full.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,661079,2096488448,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0215595Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\imm32.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,300886,2600789120,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0222605Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"Info "," 3376 MsMpEng.exe",4564,,," 3376 MsMpEng.exe",4564,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-01 15:10:05.0242481Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\uxtheme.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,667074,2095790744,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0246839Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",16288,,,,,,"C:\Windows\System32\combase.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,659071,2096456368,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0288095Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\Git\mingw64\bin\libiconv-2.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,354170,1451767840,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0290804Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\Git\mingw64\bin\libintl-8.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,354172,1451767752,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0292557Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\Git\mingw64\bin\libpcre2-8-0.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,354174,1451767928,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0293994Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Windows\System32\ws2_32.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,667572,2096477168,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0295711Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\Git\mingw64\bin\libwinpthread-1.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,354180,1451767648,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0297407Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\Git\mingw64\bin\zlib1.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,354212,1451768024,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0298637Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Windows\System32\cryptbase.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,659493,2096476840,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.0300174Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup"," 3376 MsMpEng.exe",5068,,,,,,"C:\Windows\System32\bcryptprimitives.dll",,"0x8001",,,,,,,,,,,,,,,,,,,,,,,,,1,56,658155,2096449992,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG,Computer\HKEY_LOCAL_MACHINE\SYSTEM\DUMMY,2020-20-20 20:20:20
"2025-10-01 15:10:05.4389067Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 1688 VBoxService.exe",1792,,,"    4 System",,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,3221225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-01 15:10:05.4389109Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 1688 VBoxService.exe",1792,,,"    4 System",,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,3221225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-01 15:10:05.4389147Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 1688 VBoxService.exe",1792,,,"    4 System",,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,3221225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-01 15:10:05.4398950Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 1688 VBoxService.exe",1792,,," 3128 MpDefenderCoreService.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,3221225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-01 15:10:05.4398979Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 1688 VBoxService.exe",1792,,," 3128 MpDefenderCoreService.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,3221225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-01 15:10:05.4399008Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 1688 VBoxService.exe",1792,,," 3128 MpDefenderCoreService.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,3221225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-01 15:10:05.4399949Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 1688 VBoxService.exe",1792,,," 3376 MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,3221225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
